neighbours,neighbours,validation_score
3,3,0.8460255335010716
5,5,0.8460348522970833
7,7,0.8446743080793961
9,9,0.8487466219364457
11,11,0.8473953965147702
13,13,0.8501258037461561
15,15,0.8501164849501445
17,17,0.8514677103718199
19,19,0.8487373031404342
21,21,0.8473767589227471
23,23,0.8473767589227471
25,25,0.8405647190383003
27,27,0.8419252632559873
29,29,0.8419252632559873
31,31,0.8432858074736744
33,33,0.8419252632559873
35,35,0.8405554002422887
37,37,0.8419159444599756
39,39,0.8310129531264561
41,41,0.8323921349361662
43,43,0.8310315907184792
45,45,0.8323921349361662
47,47,0.8283011834870935
49,49,0.8310222719224676
